Type,X,Y,OBJECTID,Citation_N,Date,Address,Ordinance,Latitude,Longitude,Ward,Community,Neighborho,Tow_Zone,Day,Snow_Emerg
TAG,-93.233345,44.979056,108,2.71119E+11,2019-02-12T00:00:00.000Z,317 16TH AVE SE,478.1000(a),44.979056,-93.233345,2,University,University of Minnesota,4,1,Westminster
TAG,-93.268903,45.000465,109,2.71119E+11,2019-02-12T00:00:00.000Z,120 13TH AVE NE,478.1000(a),45.000465,-93.268903,3,Northeast,Sheridan,2,1,Westminster
TAG,-93.229804,44.923317,110,2.71119E+11,2019-02-12T00:00:00.000Z,2925 44TH ST E,478.1000(a),44.923317,-93.229804,12,Nokomis,Ericsson,6,1,Westminster
TAG,-93.233645,44.978594,111,2.71119E+11,2019-02-12T00:00:00.000Z,304 16TH AVE SE,478.1000(a),44.978594,-93.233645,2,University,University of Minnesota,4,1,Westminster
TAG,-93.23216,44.978165,112,2.71119E+11,2019-02-12T00:00:00.000Z,317 17TH AVE SE,478.1000(a),44.978165,-93.23216,2,University,University of Minnesota,4,1,Westminster
TAG,-93.230878,44.977449,113,2.71119E+11,2019-02-12T00:00:00.000Z,306 18TH AVE SE,478.1000(a),44.977449,-93.230878,2,University,University of Minnesota,4,1,Westminster
TAG,-93.230725,44.97768,114,2.71119E+11,2019-02-12T00:00:00.000Z,312 18TH AVE SE,478.1000(a),44.97768,-93.230725,2,University,University of Minnesota,4,1,Westminster
TAG,-93.230787,44.977572,115,2.71119E+11,2019-02-12T00:00:00.000Z,310 18TH AVE SE,478.1000(a),44.977572,-93.230787,2,University,University of Minnesota,4,1,Westminster
TAG,-93.230688,44.977756,116,2.71119E+11,2019-02-12T00:00:00.000Z,315 18TH AVE SE,478.1000(a),44.977756,-93.230688,2,University,University of Minnesota,4,1,Westminster
TAG,-93.230637,44.977804,117,2.71119E+11,2019-02-12T00:00:00.000Z,320 18TH AVE SE,478.1000(a),44.977804,-93.230637,2,University,University of Minnesota,4,1,Westminster
TAG,-93.230545,44.97792,118,2.71119E+11,2019-02-12T00:00:00.000Z,324 18TH AVE SE,478.1000(a),44.97792,-93.230545,2,University,University of Minnesota,4,1,Westminster
TAG,-93.236473,44.982001,119,2.71119E+11,2019-02-12T00:00:00.000Z,1306 5TH ST SE,478.1000(a),44.982001,-93.236473,3,University,Marcy Holmes,4,1,Westminster
TAG,-93.235757,44.981816,120,2.71119E+11,2019-02-12T00:00:00.000Z,1316 5TH ST SE,478.1000(a),44.981816,-93.235757,3,University,Marcy Holmes,4,1,Westminster
TAG,-93.235296,44.981684,121,2.71119E+11,2019-02-12T00:00:00.000Z,1328 5TH ST SE,478.1000(a),44.981684,-93.235296,3,University,Marcy Holmes,4,1,Westminster
TAG,-93.234231,44.981249,122,2.71119E+11,2019-02-12T00:00:00.000Z,1416 5TH ST SE,478.1000(a),44.981249,-93.234231,3,University,Marcy Holmes,4,1,Westminster
TAG,-93.228433,44.972605,123,2.71119E+11,2019-02-12T00:00:00.000Z,708 DELAWARE ST SE,478.1000(a),44.972605,-93.228433,2,University,University of Minnesota,4,1,Westminster
TAG,-93.234738,44.982641,124,2.71119E+11,2019-02-12T00:00:00.000Z,1320 6TH ST SE,478.1000(a),44.982641,-93.234738,3,University,Marcy Holmes,4,1,Westminster
TAG,-93.234923,44.982704,125,2.71119E+11,2019-02-12T00:00:00.000Z,1315 6TH ST SE,478.1000(a),44.982704,-93.234923,3,University,Marcy Holmes,4,1,Westminster
