OBJECTID,OFT_1,STREET_O_NAME_1,STREET_F_NAME_1,STREET_T_NAME_1,NETWORK,BRANCH,SECTION,PAVEMENT,BASE,CONST_YR,RENOVATION_YR,SEALCOAT_YR,SEALCOAT_COUNT,OVERLAY_YR,PCI,PCI_BRANCH_AVG,LENGTH,COMMENTS_1,COMMENTS_2,INSPECTION_DATE,REFNO_ALL
921,25331040048,25TH AVE SE,UNIVERSITY AVE SE,4TH ST SE,MSA,446,1,ASPHALT9,CLASS 5,1993,,2005,2,,90,,411,,,2010-06-09T00:00:00.000Z,2443
922,25424050012,25TH ST E,NICOLLET AVE,1ST AVE S,RES,2858,4,ASPHALT7,CRUSH.CONC,1997,,1998,1,,,73,335,,,2013-08-16T00:00:00.000Z,2450
923,60920031719,60TH ST W,JAMES AVE S,GRASS LAKE TER,RES,2779,10,ASPHALT7,CRUSH.CONC,1995,,1996,1,,,74,197,,,2013-08-02T00:00:00.000Z,6507
924,25426182505,25TH ST E,PORTLAND AVE,OAKLAND AVE,RES,2985,13,ASPHALT7m,S.GRAN.MAT.,1972,2003,2004,1,,,76,326,,,2014-06-26T00:00:00.000Z,2455
925,25413441326,25TH ST E,COLUMBUS AVE,CHICAGO AVE,RES,2985,13,ASPHALT7m,S.GRAN.MAT.,1972,2003,2004,1,,,76,329,,,2014-06-26T00:00:00.000Z,2458
926,25413261508,25TH ST E,CHICAGO AVE,ELLIOT AVE,RES,2985,13,ASPHALT7m,S.GRAN.MAT.,1972,2003,2004,1,,,76,331,,,2014-06-26T00:00:00.000Z,2459
927,25415080102,25TH ST E,ELLIOT AVE,10TH AVE S,RES,2985,13,ASPHALT7m,S.GRAN.MAT.,1972,2003,2004,1,,,76,327,,,2014-06-26T00:00:00.000Z,2460
928,25401020112,25TH ST E,10TH AVE S,11TH AVE S,RES,2985,13,ASPHALT7m,S.GRAN.MAT.,1972,2003,2004,1,,,76,328,,,2014-06-26T00:00:00.000Z,2461
929,25401420152,25TH ST E,14TH AVE S,15TH AVE S,RES,2985,13,ASPHALT7m,S.GRAN.MAT.,1972,2003,2004,1,,,76,329,,,2014-06-26T00:00:00.000Z,2465
930,1.21403E+11,BLOOMINGTON AVE,25TH ST E,24TH ST E,MSA,160,7,ASPHALT9,UNKNOWN,1973,,2013,3,,66,,654,,,2011-08-25T00:00:00.000Z,6849
931,25401720182,25TH ST E,17TH AVE S,18TH AVE S,RES,2985,13,ASPHALT7m,S.GRAN.MAT.,1972,2003,2004,1,,,76,329,,,2014-06-26T00:00:00.000Z,2469
932,25402520262,25TH ST E,25TH AVE S,26TH AVE S,MSA,238,1,CONCRETE,CLASS 5,1970,,,,,52,,412,,,2013-09-17T00:00:00.000Z,2473
933,25402920302,25TH ST E,29TH AVE S,30TH AVE S,MSA,238,2,ASPHALT9,UNKNOWN,1972,,2012,4,,82,,410,,,2013-09-17T00:00:00.000Z,2477
934,59921041904,59TH ST W,KNOX AVE S,IRVING AVE S,RES,2784,10A,ASPHALT7,CRUSH.ROCK,1990,,2001,2,,,75,156,,,2013-08-06T00:00:00.000Z,6448
935,25403220332,25TH ST E,32ND AVE S,33RD AVE S,MSA,238,2,ASPHALT9,UNKNOWN,1972,,2012,4,,82,,383,,,2013-09-17T00:00:00.000Z,2480
936,25403420352,25TH ST E,34TH AVE S,35TH AVE S,MSA,238,2,ASPHALT9,UNKNOWN,1972,,2012,4,,82,,396,,,2013-09-17T00:00:00.000Z,2482
937,25403722908,25TH ST E,37TH AVE S,SEABURY AVE,LOCAL,25STE,1,ASPH/CONC,UNKNOWN,1941,,,,2013,100,,300,,,2013-11-01T00:00:00.000Z,2485
938,0259BDRY1313,25TH ST W,CITY BOUNDARY,CEDAR LN,RES,2989,9,ASPHALT,S.GRAN.MAT.,1953,2005,2006,1,,,89,140,,,2014-06-03T00:00:00.000Z,2487
939,25913131316,25TH ST W,CEDAR LN,CEDAR SHORE DR,RES,2989,9,ASPHALT,S.GRAN.MAT.,1953,2005,2006,1,,,89,274,,,2014-06-03T00:00:00.000Z,2488
940,25922021904,25TH ST W,LAKE PL,IRVING AVE S,RES,2742,12,ASPHALT7,CRUSH.CONC,1986,,1998,2,,,62,510,,,2014-07-02T00:00:00.000Z,2490
941,25917041809,25TH ST W,GIRARD AVE S,HENNEPIN AVE,RES,2742,12,ASPHALT7,CRUSH.CONC,1986,,1998,2,,,62,389,,,2014-07-02T00:00:00.000Z,2493
942,25915161418,25TH ST W,EMERSON AVE S,DUPONT AVE S,RES,2742,12,ASPHALT7,CRUSH.CONC,1986,,1998,2,,,62,331,,,2014-07-02T00:00:00.000Z,2495
943,24403220332,24TH ST E,32ND AVE S,33RD AVE S,RES,2788,14,ASPHALT7,CRUSH.CONC,2013,,,,,,100,383,,,2013-11-01T00:00:00.000Z,2370
944,24403420352,24TH ST E,34TH AVE S,35TH AVE S,RES,2788,14,ASPHALT7,CRUSH.CONC,2013,,,,,,100,396,,,2013-11-01T00:00:00.000Z,2373
945,23100660076,23RD AVE NE,6TH ST NE,7TH ST NE,RES,2753,12,ASPHALT7,CRUSH.CONC,1981,,2008,4,,,78,313,,,2014-07-08T00:00:00.000Z,2204
946,23100763311,23RD AVE NE,7TH ST NE,WASHINGTON ST NE,RES,2753,12,ASPHALT7,CRUSH.CONC,1981,,2008,4,,,78,312,,,2014-07-08T00:00:00.000Z,2205
947,23123292704,23RD AVE NE,MONROE ST NE,QUINCY ST NE,RES,2727,11,ASPHALT7,CRUSH.CONC,1980,,2001,3,,,67,398,,,2012-05-09T00:00:00.000Z,2210
948,23120011320,23RD AVE NE,JACKSON ST NE,CENTRAL AVE NE,RES,2727,11,ASPHALT7,CRUSH.CONC,1980,,2001,3,,,67,460,,,2012-05-09T00:00:00.000Z,2212
949,23126173005,23RD AVE NE,POLK ST NE,TAYLOR ST NE,RES,2645,18,CONCRETE7,S.GRAN.MAT.,1974,,,,,,79,460,,,2013-05-24T00:00:00.000Z,2214
950,23116062612,23RD AVE NE,FILLMORE ST NE,PIERCE ST NE,RES,2645,18,CONCRETE7,S.GRAN.MAT.,1974,,,,,,79,326,,,2013-05-24T00:00:00.000Z,2216
951,23126121229,23RD AVE NE,PIERCE ST NE,BUCHANAN ST NE,RES,2645,18,CONCRETE7,S.GRAN.MAT.,1974,,,,,,79,329,,,2013-05-24T00:00:00.000Z,2217
952,23122162006,23RD AVE NE,LINCOLN ST NE,JOHNSON ST NE,RES,2645,18,CONCRETE7,S.GRAN.MAT.,1974,,,,,,79,330,,,2013-05-24T00:00:00.000Z,2219
953,23120063102,23RD AVE NE,JOHNSON ST NE,ULYSSES ST NE,RES,2649,14,CONCRETE7,S.GRAN.MAT.,1973,,,,,,73,333,,,2012-07-12T00:00:00.000Z,2220
954,23113311211,23RD AVE NE,CLEVELAND ST NE,BENJAMIN ST NE,RES,2649,14,CONCRETE7,S.GRAN.MAT.,1973,,,,,,73,332,,,2012-07-12T00:00:00.000Z,2225
955,3.30901E+11,WASHINGTON AVE S,10TH AVE S,9TH AVE S,CSAH,152,11,ASPHALT9,S.GRAN.MAT.,1988,,,0,2010,,,417,,,,12068
956,3.30901E+11,WASHINGTON AVE S,9TH AVE S,CHICAGO AVE,CSAH,152,11,ASPHALT9,S.GRAN.MAT.,1988,,,,2010,,,416,,,,12067
957,23130023327,23RD AVE NE,TAFT ST NE,WILSON ST NE,RES,2649,14,CONCRETE7,S.GRAN.MAT.,1973,,,,,,73,309,,,2012-07-12T00:00:00.000Z,2231
958,23205642914,23RD AVE S,56TH ST E,SHOREVIEW AVE,RES,2627,7,ASPHALT7m,CLASS 3,1972,,,,2011,,88,579,,,2014-08-05T00:00:00.000Z,2237
959,23204040394,23RD AVE S,40TH ST E,39TH ST E,RES,2756,4,ASPHALT7,CRUSH.CONC,1979,,1999,3,,,51,656,,,2013-06-03T00:00:00.000Z,2241
960,25018152610,25TH AVE N,HILLSIDE AVE N,PENN AVE N,RES,2614,12,CONCRETE7,S.GRAN.MAT.,1970,,,,,,75,461,,,2011-04-29T00:00:00.000Z,2400
961,25020021903,25TH AVE N,JAMES AVE N,IRVING AVE N,RES,2614,12,CONCRETE7,S.GRAN.MAT.,1970,,,,,,75,324,,,2011-04-29T00:00:00.000Z,2405
962,10500753018,10TH ST N,7TH ST N,TWINS WAY,MSA,223,BRG,BRIDGE,NONE,,,,,,,,816,,,,1095
963,7530180105,7TH ST N,TWINS WAY,10TH ST N,MSA,221,BRG,BRIDGE,NONE,,,,,,,,773,,,,846
964,10530181709,10TH ST N,TWINS WAY,GLENWOOD AVE,MSA,223,BRG,BRIDGE,NONE,,,,,,,,502,,,,1094
965,25018221703,25TH AVE N,HUMBOLDT AVE N,GIRARD AVE N,RES,2614,12,CONCRETE7,S.GRAN.MAT.,1970,,,,,,75,226,,,2011-04-29T00:00:00.000Z,2407
966,25015151417,25TH AVE N,EMERSON AVE N,DUPONT AVE N,RES,2740,9,ASPHALT7,CRUSH.CONC,1991,,2001,2,,,64,395,,,2012-05-04T00:00:00.000Z,2410
967,25022290065,25TH AVE N,LYNDALE AVE N,6TH ST N,RES,2884,9,ASPHALT7,CLASS 5,1994,,2010,2,,,78,394,,,2012-05-01T00:00:00.000Z,2414
968,61913402230,61ST ST W,COLFAX LN S,LYNDALE AVE S,RES,2629A,13,ASPHALT7m,S.GRAN.MAT.,1956,,1992,3,,,54,942,,,2004-06-22T00:00:00.000Z,6556
969,25205640554,25TH AVE S,56TH ST E,55TH ST E,RES,2627,9,ASPHALT7m,CLASS 3,1972,,,,2011,,88,663,,,2014-08-05T00:00:00.000Z,2419
970,7500203018,7TH ST N,2ND AVE N,TWINS WAY,MSA,221,BRG,BRIDGE,NONE,,,,,,,,587,,,,845
971,02613105CDSE,26TH AVE NE,UNIVERSITY AVE NE,CUL-DE-SAC (E),RES,2646,8,CONCRETE7,S.GRAN.MAT.,1975,,,,,,82,397,,,2013-06-20T00:00:00.000Z,2552
972,26123031821,26TH AVE NE,MADISON ST NE,HOWARD ST NE,RES,2727,13,ASPHALT7,CRUSH.CONC,1980,,2001,3,,,67,313,,,2012-05-09T00:00:00.000Z,2558
973,26127042001,26TH AVE NE,QUINCY ST NE,JACKSON ST NE,RES,2727,13,ASPHALT7,CRUSH.CONC,1980,,2001,3,,,67,460,,,2012-05-09T00:00:00.000Z,2561
974,26113202617,26TH AVE NE,CENTRAL AVE NE,POLK ST NE,RES,2633,8,CONCRETE7,S.GRAN.MAT.,1972,,,,,,82,460,,,2013-06-06T00:00:00.000Z,2563
975,26130051606,26TH AVE NE,TAYLOR ST NE,FILLMORE ST NE,RES,2633,8,CONCRETE7,S.GRAN.MAT.,1972,,,,,,82,402,,,2013-06-06T00:00:00.000Z,2565
976,26116062612,26TH AVE NE,FILLMORE ST NE,PIERCE ST NE,RES,2633,8,CONCRETE7,S.GRAN.MAT.,1972,,,,,,82,329,,,2013-06-06T00:00:00.000Z,2566
977,26126121229,26TH AVE NE,PIERCE ST NE,BUCHANAN ST NE,RES,2633,8,CONCRETE7,S.GRAN.MAT.,1972,,,,,,82,329,,,2013-06-06T00:00:00.000Z,2567
978,26112292216,26TH AVE NE,BUCHANAN ST NE,LINCOLN ST NE,RES,2633,8,CONCRETE7,S.GRAN.MAT.,1972,,,,,,82,327,,,2013-06-06T00:00:00.000Z,2568
979,1.21306E+11,BLAISDELL AVE,57TH ST W,56TH ST W,RES,2629,9A,ASPHALT7m,S.GRAN.MAT.,1971,,,,2010,,100,665,,,2010-11-01T00:00:00.000Z,6782
980,26118081702,26TH AVE NE,HAYES ST NE,GARFIELD ST NE,RES,2628,7,CONCRETE7,S.GRAN.MAT.,1971,,,,,,82,334,,,2011-06-16T00:00:00.000Z,2572
981,26425052618,26TH ST E,OAKLAND AVE,PORTLAND AVE,MSA,239,7,ASPH/CONC,S.GRAN.MAT.,1962,,1997,3,,62,,329,,,2009-10-19T00:00:00.000Z,2658
982,26413261344,26TH ST E,CHICAGO AVE,COLUMBUS AVE,MSA,239,7,ASPH/CONC,S.GRAN.MAT.,1962,,1997,3,,62,,329,,,2009-10-19T00:00:00.000Z,2655
983,26401120102,26TH ST E,11TH AVE S,10TH AVE S,MSA,239,8,ASPH/CONC,S.GRAN.MAT.,1963,,1996,3,,51,,328,Pavement Exception: Approx. 200' E.of Longfellow to Hiawatha paved in 1999 w/ Hia.,,2009-10-19T00:00:00.000Z,2653
984,26401420132,26TH ST E,14TH AVE S,13TH AVE S,MSA,239,8,ASPH/CONC,S.GRAN.MAT.,1963,,1996,3,,51,,329,Pavement Exception: Approx. 200' E.of Longfellow to Hiawatha paved in 1999 w/ Hia.,,2009-10-19T00:00:00.000Z,2650
985,26401820172,26TH ST E,18TH AVE S,17TH AVE S,MSA,239,8,ASPH/CONC,S.GRAN.MAT.,1963,,1996,3,,51,,329,Pavement Exception: Approx. 200' E.of Longfellow to Hiawatha paved in 1999 w/ Hia.,,2009-10-19T00:00:00.000Z,2645
986,26402520262,26TH ST E,25TH AVE S,26TH AVE S,MSA,191,3,CONCRETE9,CLASS 5,1970,,,,,41,,413,,,2013-08-27T00:00:00.000Z,2620
987,26402720282,26TH ST E,27TH AVE S,28TH AVE S,MSA,191,4,CONCRETE,CLASS 5,1970,,,,,62,,411,,,2013-08-27T00:00:00.000Z,2622
988,26402920302,26TH ST E,29TH AVE S,30TH AVE S,MSA,191,5,ASPHALT9,S.GRAN.MAT.,1981,,2012,3,,87,,410,,,2013-08-27T00:00:00.000Z,2624
989,2.61406E+11,PILLSBURY AVE,57TH ST W,56TH ST W,RES,2629,7A,ASPHALT7m,S.GRAN.MAT.,1971,,,,2010,,100,666,,,2010-11-01T00:00:00.000Z,10719
990,26403020312,26TH ST E,30TH AVE S,31ST AVE S,MSA,191,5,ASPHALT9,S.GRAN.MAT.,1981,,2012,3,,87,,343,,,2013-08-27T00:00:00.000Z,2625
991,26403220322,26TH ST E,32ND AVE S,32ND AVE S,MSA,191,5,ASPHALT9,S.GRAN.MAT.,1981,,2012,3,,87,,34,,,2013-08-27T00:00:00.000Z,2627
992,26403220332,26TH ST E,32ND AVE S,33RD AVE S,MSA,191,5,ASPHALT9,S.GRAN.MAT.,1981,,2012,3,,87,,323,,,2013-08-27T00:00:00.000Z,2628
993,26403420342,26TH ST E,34TH AVE S,34TH AVE S,MSA,191,5,ASPHALT9,S.GRAN.MAT.,1981,,2012,3,,87,,120,,,2013-08-27T00:00:00.000Z,2631
994,26403520352,26TH ST E,35TH AVE S,35TH AVE S,MSA,191,5,ASPHALT9,S.GRAN.MAT.,1981,,2012,3,,87,,185,,,2013-08-27T00:00:00.000Z,2633
995,25913381228,25TH ST W,COLFAX AVE S,BRYANT AVE S,RES,2773,4,ASPHALT7,CRUSH.CONC,1996,,1997,1,,,73,330,,,2013-10-03T00:00:00.000Z,2497
996,1.80901E+11,HENNEPIN AVE,10TH ST N,9TH ST N,MSA,313,2,ASPHALT9,S.GRAN.MAT.,1986,,2009,1,,62,,353,,,2012-10-03T00:00:00.000Z,8802
997,2.82036E+11,ROSE LN,ZENITH AVE S,WEST LAKE CALHOUN PKWY,RES,2599,35,ASPHALT7,BIT.ST.SOIL,1968,,,,2012,,100,241,,,2012-11-01T00:00:00.000Z,11069
998,25918041715,25TH ST W,HARRIET AVE,GRAND AVE S,RES,2812,4,ASPHALT7,CRUSH.CONC,1982,,2004,3,,,71,331,,,2012-09-27T00:00:00.000Z,2502
999,25926152614,25TH ST W,PLEASANT AVE,PILLSBURY AVE,RES,2706,3,ASPHALT7,CRUSH.CONC,1985,,2004,3,,,71,431,,,2011-06-24T00:00:00.000Z,2504
1000,25912132405,25TH ST W,BLAISDELL AVE,NICOLLET AVE,RES,2706,3,ASPHALT7,CRUSH.CONC,1985,,2004,3,,,71,458,,,2011-06-24T00:00:00.000Z,2506
4001,2.10314E+11,KENWOOD PKWY,DOUGLAS AVE,MOUNT CURVE AVE,PRKBD,KENWOD,1,ASPHALT,UNKNOWN,1958,2007,2012,1,,88,,1098,,,2013-11-21T00:00:00.000Z,9243
4002,1.70104E+11,GARFIELD AVE,38TH ST W,37TH ST W,RES,2686,3,ASPHALT7m,CRUSH.CONC,1978,,1992,2,,,63,660,,,2012-09-25T00:00:00.000Z,8436
4003,1.70104E+11,GARFIELD AVE,36TH ST W,35TH ST W,RES,2662,2,ASPHALT7m,S.GRAN.MAT.,1976,,2001,3,,,67,659,,,2011-05-26T00:00:00.000Z,8438
4004,1.70102E+11,GARFIELD AVE,22ND ST W,24TH ST W,RES,2812,1,ASPHALT7,CRUSH.CONC,1982,,2004,3,,,71,653,,,2012-09-27T00:00:00.000Z,8445
4005,1.70202E+11,GARFIELD ST NE,18TH AVE NE,19TH AVE NE,RES,2649,3,CONCRETE7,S.GRAN.MAT.,1973,,,,,,73,658,,,2012-07-12T00:00:00.000Z,8452
4006,1.41704E+11,DUPONT AVE N,36TH AVE N,37TH AVE N,RES,2712,2,ASPHALT7,CRUSH.CONC,1981,,2006,3,,,61,661,,,2012-04-26T00:00:00.000Z,7731
4007,1.41714E+11,DUPONT AVE N,DOWLING AVE N,39TH AVE N,RES,2636,4,CONCRETE7,S.GRAN.MAT.,1972,,,,,,87,660,,,2011-05-12T00:00:00.000Z,7733
4008,1.22401E+11,BROOK AVE SE,13TH AVE SE,14TH AVE SE,ROW,-,-,NO PVMT,UNKNOWN,,,,,,,,333,,,,6917
4009,1.60102E+11,FAIRMOUNT ST,19TH AVE SE,20TH AVE SE,RES,2584,13,CONCRETE7,S.GRAN.MAT.,1967,,,,,,78,352,,,2012-07-13T00:00:00.000Z,8169
4010,1.60102E+11,FAIRMOUNT ST,22ND AVE SE,23RD AVE SE,RES,2584,13,CONCRETE7,S.GRAN.MAT.,1967,,,,,,78,329,,,2012-07-13T00:00:00.000Z,8172
4011,2.616E+11,PLYMOUTH AVE N,2ND ST N,WEST RIVER RD N,MSA,197,4A,ASPH/CONC,UNKNOWN,1965,,,,2011,100,,1142,,,2011-11-01T00:00:00.000Z,10822
4012,1.60333E+11,FARWELL AVE,WASHBURN AVE N,VINCENT AVE N,RES,2667,11,ASPHALT7m,S.GRAN.MAT.,1975,,1995,3,,,63,372,,,2013-07-23T00:00:00.000Z,8175
4013,4.30915E+11,30 1/2 ST W,EWING AVE S,DREW AVE S,RES,2618,31,CONCRETE7,S.GRAN.MAT.,1970,,,,,,73,330,,,2013-09-11T00:00:00.000Z,3202
4014,2.31303E+11,MARSHALL ST NE,31ST AVE NE,ST ANTHONY PKWY,CSAH,23,4A,ASPH/PA-CO,S.GRAN.MAT.,1960,,,,2009,,,1426,,,,9880
4015,2.31422E+11,MCKINLEY ST NE,LOWRY AVE NE,26TH AVE NE,RES,2628,14,CONCRETE9,S.GRAN.MAT.,1971,,,,,,82,660,,,2011-06-16T00:00:00.000Z,9888
4016,2.31403E+11,MCKINLEY ST NE,27TH AVE NE,ST ANTHONY PKWY,RES,2628,14,CONCRETE9,S.GRAN.MAT.,1971,,,,,,82,794,,,2011-06-16T00:00:00.000Z,9890
4017,2.31403E+11,MCKINLEY ST NE,29TH AVE NE,BRIGHTON AVE NE,RES,2593,7,CONCRETE7,S.GRAN.MAT.,1967,,,,,,70,120,,,2012-09-27T00:00:00.000Z,9892
4018,2.31403E+11,MCKINLEY ST NE,30TH AVE NE,31ST AVE NE,RES,2593,7,CONCRETE7,S.GRAN.MAT.,1967,,,,,,70,660,,,2012-09-27T00:00:00.000Z,9894
4019,2.31403E+11,MCKINLEY ST NE,33RD AVE NE,34TH AVE NE,RES,2593,7,CONCRETE7,S.GRAN.MAT.,1967,,,,,,70,660,,,2012-09-27T00:00:00.000Z,9897
4020,2.31403E+11,MCKINLEY ST NE,34TH AVE NE,35TH AVE NE,RES,2593,7,CONCRETE7,S.GRAN.MAT.,1967,,,,,,70,662,,,2012-09-27T00:00:00.000Z,9898
4021,1.82931E+11,HAWTHORNE AVE W,UPTON AVE S,THOMAS AVE S,RES,2659,26,ASPHALT7m,S.GRAN.MAT.,1973,,,,2010,,90,330,,,2013-07-18T00:00:00.000Z,8751
4022,1.8293E+11,HAWTHORNE AVE W,THOMAS AVE S,SHERIDAN AVE S,RES,2659,26,ASPHALT7m,S.GRAN.MAT.,1973,,,,2010,,90,329,,,2013-07-18T00:00:00.000Z,8752
4023,3526163308,3RD ST N,PLYMOUTH AVE N,WASHINGTON AVE N,LOCAL,03STN,4,ASPHALT,UNKNOWN,1980,,,,,36,,1002,,,2009-11-03T00:00:00.000Z,353
4024,1.90403E+11,IRVING AVE S,31ST ST W,LAKE ST W,MSA,367,2,ASPHALT7,CRUSH.ROCK,1989,,2011,2,,77,,645,,,2013-09-23T00:00:00.000Z,9077
4025,1.90403E+11,IRVING AVE S,28TH ST W,27TH ST W,RES,2783,2A,ASPHALT7,CRUSH.ROCK,1989,,2001,2,,,73,554,,,2013-07-02T00:00:00.000Z,9082
4026,1.90403E+11,IRVING AVE S,26TH ST W,EUCLID PL,RES,2742,3A,ASPHALT7,CRUSH.CONC,1986,,1998,2,,,62,391,,,2014-07-02T00:00:00.000Z,9084
4027,1.90403E+11,IRVING AVE S,25TH ST W,24TH ST W,RES,2742,3A,ASPHALT7,CRUSH.CONC,1986,,1998,2,,,62,653,,,2014-07-02T00:00:00.000Z,9086
4028,1.90416E+11,IRVING AVE S,FRANKLIN AVE W,LINCOLN AVE,RES,2767,3A,ASPHALT7,CRUSH.CONC,1988,,2000,2,,,69,629,,,2013-07-29T00:00:00.000Z,9090
4029,2.20421E+11,LAKE ST W,KNOX AVE S,KNOX AVE S,CSAH,3,3,ASPHALT,UNKNOWN,1990,,,,2014,,,88,,,,9417
4030,2.20419E+11,LAKE ST W,IRVING AVE S,HUMBOLDT AVE S,CSAH,3,4,ASPH/CONC,UNKNOWN,1954,,,,2014,,,331,,,,9420
4031,2.20418E+11,LAKE ST W,HOLMES AVE S,HENNEPIN AVE,CSAH,3,4,ASPH/CONC,UNKNOWN,1954,,,,2014,,,334,,,,9422
4032,1.32601E+11,CHICAGO AVE,6TH ST S,5TH ST S,MSA,165,11,ASPHALT,CRUSH.CONC,1981,,2011,1,,59,,264,Pavement Exception: 5th - 4th St. (KirbyPuckettPl)reconst. w/Pavers in1997 (Stadium Comm.),,2007-07-20T00:00:00.000Z,7293
4033,2.11501E+11,KIRBY PUCKETT PL,5TH ST S,4TH ST S,MSA,165,11,ASPHALT,CRUSH.CONC,1981,,2011,1,,59,,559,Pavement Exception: 5th - 4th St. (KirbyPuckettPl)reconst. w/Pavers in1997 (Stadium Comm.),,2007-07-20T00:00:00.000Z,9283
4034,1.32705E+11,CHOWEN AVE S,51ST ST W,50TH ST W,RES,2612S,3,ASPHALT7,BIT.ST.SOIL,1969,,1998,3,,,60,658,,,2013-09-19T00:00:00.000Z,7301
4035,1.32705E+11,CHOWEN AVE S,49TH ST W,48TH ST W,RES,2559,1,ASPHALT7,CEM.ST.SOIL,1962,,2004,2,,,55,658,,,2013-09-11T00:00:00.000Z,7303
4036,1.32705E+11,CHOWEN AVE S,46TH ST W,45TH ST W,RES,2964,3,ASPHALT7,BIT.ST.SOIL,1969,2003,2004,1,,,87,659,,,2011-08-23T00:00:00.000Z,7306
4037,1.32705E+11,CHOWEN AVE S,45TH ST W,44TH ST W,RES,2964,3,ASPHALT7,BIT.ST.SOIL,1969,2003,2004,1,,,87,519,,,2011-08-23T00:00:00.000Z,7307
4038,1.32704E+11,CHOWEN AVE S,44TH ST W,MOTOR PL,RES,2599,15,ASPHALT7,BIT.ST.SOIL,1968,,,,2012,,100,111,,,2012-11-01T00:00:00.000Z,7308
4039,1.32723E+11,CHOWEN AVE S,MOTOR PL,DREW AVE S,RES,2599,15,ASPHALT7,BIT.ST.SOIL,1968,,,,2012,,100,607,,,2012-11-01T00:00:00.000Z,7309
4040,1.32714E+11,CHOWEN AVE S,DREW AVE S,42ND ST W,RES,2599,15,ASPHALT7,BIT.ST.SOIL,1968,,,,2012,,100,568,,,2012-11-01T00:00:00.000Z,7312
4041,1.41314E+11,DOUGLAS AVE,DUPONT AVE S,COLFAX AVE S,LOCAL,DOUGL,1,ASPHALT9,CRUSH.CONC,1994,,2013,2,,73,,331,,,2010-09-28T00:00:00.000Z,7637
4042,1.41643E+11,DREW AVE S,30 1/2 ST W,LAKE ST W,RES,2618,3,CONCRETE7,S.GRAN.MAT.,1970,,,,,,73,203,,,2013-09-11T00:00:00.000Z,7692
4043,1.23126E+11,BURNHAM RD,PARK LN,PARK LN,RES,2618,9,CONCRETE7,S.GRAN.MAT.,1970,,,,,,73,661,,,2014-07-02T00:00:00.000Z,7039
4044,1.23113E+11,BURNHAM RD,CEDAR LAKE PKWY,PARK LN,RES,2618,9,CONCRETE7,S.GRAN.MAT.,1970,,,,,,73,227,,,2014-07-02T00:00:00.000Z,7038
4045,1.6043E+11,FARWELL PL,THOMAS AVE N,SHERIDAN AVE N,RES,2667,13,ASPHALT7m,S.GRAN.MAT.,1975,,1995,3,,,63,331,,,2013-07-23T00:00:00.000Z,8179
4046,3.1073E+11,UPTON AVE S,THOMAS AVE S,SHERIDAN AVE S,RES,2618,13,CONCRETE7,S.GRAN.MAT.,1970,,,,,,73,404,,,2013-09-11T00:00:00.000Z,11827
4047,1.70403E+11,GIRARD AVE S,34TH ST W,35TH ST W,RES,2781,4,ASPHALT7,CRUSH.CONC,1991,,2001,2,,,52,659,,,2013-06-11T00:00:00.000Z,8522
4048,1.70403E+11,GIRARD AVE S,32ND ST W,33RD ST W,RES,2768,1,ASPHALT7,CRUSH.CONC,1992,,2009,2,,,89,661,,,2012-11-19T00:00:00.000Z,8520
4049,1.70422E+11,GIRARD AVE S,LAKE ST W,LAGOON AVE,LOCAL,GIRAS,1,ASPH/CONC,UNKNOWN,1930,,,,1991,40,,324,,,2009-11-12T00:00:00.000Z,8524
4050,1.70403E+11,GIRARD AVE S,28TH ST W,27TH ST W,RES,2754,1,ASPHALT7,CRUSH.CONC,1984,,,,2014,,100,655,,,2014-11-01T00:00:00.000Z,8526
4051,1.82929E+11,HAWTHORNE AVE W,SHERIDAN AVE S,RUSSELL AVE S,RES,2659,26,ASPHALT7m,S.GRAN.MAT.,1973,,,,2010,,90,330,,,2013-07-18T00:00:00.000Z,8753
4052,1.82926E+11,HAWTHORNE AVE W,PENN AVE S,OLIVER AVE S,RES,2659,26,ASPHALT7m,S.GRAN.MAT.,1973,,,,2010,,90,330,,,2013-07-18T00:00:00.000Z,8756
4053,1.31115E+11,SOUTH CEDAR LAKE RD,EWING AVE S,DREW AVE S,LOCAL,EWING,2,ASPHALT9,CLASS 5,2003,,,,,91,,460,,,2010-10-18T00:00:00.000Z,11278
4054,1.31016E+11,CEDAR LAKE PKWY,FRANKLIN AVE W,SOUTH CEDAR LAKE RD,PRKBD,CEDRLK,2,ASPHALT9,S.GRAN.MAT.,1973,,,,2014,100,,1071,,,2014-11-01T00:00:00.000Z,7156
4055,30022212105,30TH AVE N,LOGAN AVE N,KNOX AVE N,RES,2605,12,CONCRETE7,S.GRAN.MAT.,1969,,,,,,66,356,,,2013-05-27T00:00:00.000Z,3125
4056,2.20121E+11,LAGOON AVE,KNOX AVE S,EAST LAKE CALHOUN PKWY,CSAH,43,3,ASPHALT9,CRUSH.CONC,1990,,,,2005,,,131,,,,9341
4057,2.20119E+11,LAGOON AVE,IRVING AVE S,JAMES AVE S,CSAH,43,3,ASPHALT9,CRUSH.CONC,1990,,,,2005,,,328,,,,9339
4058,2.20118E+11,LAGOON AVE,HUMBOLDT AVE S,IRVING AVE S,CSAH,43,3,ASPHALT9,CRUSH.CONC,1990,,,,2005,,,329,,,,9338
4059,2.20417E+11,LAKE ST W,GIRARD AVE S,FREMONT AVE S,CSAH,3,4,ASPH/CONC,UNKNOWN,1954,,,,2014,,,332,,,,9424
