OBJECTID,OFT_1,STREET_O_NAME_1,STREET_F_NAME_1,STREET_T_NAME_1,NETWORK,BRANCH,SECTION,PAVEMENT,BASE,CONST_YR,RENOVATION_YR,SEALCOAT_YR,SEALCOAT_COUNT,OVERLAY_YR,PCI,PCI_BRANCH_AVG,LENGTH,COMMENTS_1,COMMENTS_2,INSPECTION_DATE,REFNO_ALL
5346,01020314DEDN,10TH AVE S,31ST ST E,DEAD END (N),RES,2652,4,ASPHALT9,S.GRAN.MAT.,1976,,2006,3,,,73,442,,,2013-08-26T00:00:00.000Z,1062
5347,41413441326,41ST ST E,COLUMBUS AVE,CHICAGO AVE,RES,2631,16,ASPHALT7m,CLASS 3,1971,,2009,4,,,70,327,,,2013-07-15T00:00:00.000Z,4671
5348,41401320142,41ST ST E,13TH AVE S,14TH AVE S,RES,2631,16A,ASPHALT7m,CLASS 3,1971,,,,,,70,328,,,2013-07-15T00:00:00.000Z,4677
5349,41402720282,41ST ST E,27TH AVE S,28TH AVE S,RES,2743,17,ASPHALT7,CRUSH.CONC,1986,,1995,2,,,65,329,,,2013-07-10T00:00:00.000Z,4695
5350,3.30801E+11,WASHINGTON AVE N,12TH AVE N,PLYMOUTH AVE N,CSAH,152,13,ASPHALT9,CLASS 5,2001,,,,,,,417,,,,12031
5351,1.809E+11,HENNEPIN AVE,1ST ST S,EAST HENNEPIN AVE,CSAH,52,1,ASPH/CONC,GRAVEL,1965,,2009,1,2006,,,934,Sealcoat Exception: 2ND ST TO BRIDGE WAS NOT SEALCOATED IN 2009.,,,8813
5352,4.36123E+11,36 1/2 AVE NE,MADISON PL,VALLEY ST,RES,2650,15,ASPHALT7m,S.GRAN.MAT.,1974,,2001,4,,,75,410,,,2012-11-13T00:00:00.000Z,4080
5353,1.50133E+11,EAST HENNEPIN AVE,WILDER ST,MAIN ST NE,CSAH,52,1A,CONCRETE,UNKNOWN,1990,,,,,,,677,,,,7788
5354,4.36116E+11,36 1/2 AVE NE,FILLMORE ST NE,PIERCE ST NE,RES,2568,1,CONCRETE7,S.GRAN.MAT.,1962,,,,,,65,224,,,2013-06-14T00:00:00.000Z,4085
5355,4.36402E+11,36 1/2 ST E,22ND AVE S,23RD AVE S,RES,2735,10,ASPHALT7,CRUSH.CONC,1983,,1999,3,,,69,437,,,2013-07-11T00:00:00.000Z,4089
